File	Row	OriginalMID	FinalMID	Manufacturer	Address
999-32980463-J.xlsx	347	CNFOSJIA02FOS	CNFOSJIA2FOS	Foshan Jiayou Clothing Co., Ltd.	Unit 02, 6th Floor, Building A, Chaoer Industrial Zone, Chaoan Road, Zumiao Street, Chancheng District, Foshan City, Guangdong Province, China
999-32980463-J.xlsx	352	CNGUAHUO6GUA	CNGUAHUO3GUA	Guangzhou Huoyi Garment Co., Ltd.	6th Floor, Building A, Qixinggang Industrial Zone No. 3, 3 Qixinggang Road, Jianghai Street, Haizhu District, Guangzhou City, Guangdong Province, China
999-32980463-J.xlsx	359	CNFOSCHA140FOS	CNFOSCHA2FOS	Foshan Chancheng District Guirenxiang Garment Co., Ltd.	Ground Floor, Hongliyuan Garment Factory No. 2, No. 140, Zumiao Street, Chancheng District, Foshan City, Guangdong Province, China
999-32980463-J.xlsx	364	CNGUAJIN106GUA	CNGUAJIN1GUA	Guangzhou Jinxiu Clothing Co., Ltd.	Building 1, Guangzhou Wanshishun Trading Co., Ltd., 106 Fengze East Road, Nansha Street, Nansha District, Guangzhou City, Guangdong Province, China
999-32980463-J.xlsx	366	CNGUAKAF233GUA	CNGUAKAF2GUA	Guangzhou Kafang Clothing Co., Ltd.	2nd Factory, Jinxiu High-Speed Computer Embroidery, 233 Tuhua Road, Huazhou Street, Haizhu District, Guangzhou City, Guangdong Province, China
999-32980463-J.xlsx	376	CNGUFCLO32SHE	CNGUFCLO0SHE	Gufengdeng Clothing Firm, Longgang District, Shenzhen	2nd Floor, Takeaway Shop No. 32, Tunxiaoxian, No. 32 Puxia Road, Henggang Street, Longgang District, Shenzhen City, Guangdong Province, China
999-32980463-J.xlsx	384	CNZHOFUJ3ZHO	CNZHOFUJ2ZHO	Zhongshan Fujibai Garment Co., Ltd.	3rd Floor, Building 2, Huamao Building, 3 Xingong Road, Shaxi Town, Zhongshan City, Guangdong Province, China
999-32980463-J.xlsx	385	CNGUAPAN10GUA	CNGUAPAN3GUA	Guangzhou Panyu District Dashi Chunlian Garment Factory	3rd Floor, Building 3, No. 10 Industrial Road 2, No. 10 Industrial Road 1, Dashi Street, Panyu District, Guangzhou City, Guangdong Province, China
999-32980463-J.xlsx	389	CNYIWHON361JIN	CNYIWHON1JIN	Yiwu Hongbang Knitting Co., Ltd.	1st Floor, Xitao Village, 361 Road, Suxi Town, Yiwu City, Jinhua City, Zhejiang Province, China
999-32980463-J.xlsx	393	CNYIWSON6JIN	CNYIWSON2JIN	Yiwu Songke Clothing Firm	No. 6, 1st Floor, Building 2, Zijin 5th District, Chengbei Road, Futian Street, Yiwu City, Jinhua City, Zhejiang Province, China
